51075.300784 r 16.654 0.004
51075.301617 i 16.623 0.005
51075.302451 u 18.039 0.013
51075.303284 z 16.588 0.010
51075.304117 g 16.792 0.004
52196.301319 r 17.053 0.005
52196.302152 i 16.935 0.005
52196.302986 u 18.536 0.018
52196.303819 z 16.880 0.011
52196.304652 g 17.351 0.005
52197.314426 r 16.887 0.004
52197.315259 i 16.769 0.005
52197.316926 z 16.754 0.010
52197.317759 g 17.205 0.005
52225.164588 r 17.052 0.005
52225.165421 i 16.939 0.006
52225.166255 u 18.525 0.018
52225.167088 z 16.901 0.012
52225.167921 g 17.344 0.005
52231.200371 r 16.768 0.005
52231.201204 i 16.673 0.005
52231.202871 z 16.653 0.009
52231.203704 g 16.984 0.005
52253.186541 r 16.916 0.004
52253.187374 i 16.805 0.005
52253.188208 u 18.457 0.022
52253.189874 g 17.225 0.005
52557.308373 r 16.871 0.004
52557.309206 i 16.748 0.005
52557.310040 u 18.336 0.017
52557.310873 z 16.677 0.011
52557.311706 g 17.145 0.004
52578.204458 r 16.844 0.004
52578.205291 i 16.760 0.005
52578.206125 u 18.176 0.014
52578.206958 z 16.711 0.010
52578.207791 g 17.015 0.004
52908.282940 r 16.798 0.004
52908.283773 i 16.729 0.016
52908.284607 u 18.249 0.017
52908.285440 z 16.659 0.011
52908.286273 g 17.045 0.004
52911.296727 r 16.767 0.004
52911.297560 i 16.722 0.005
52911.298394 u 18.194 0.016
52911.299227 z 16.703 0.011
52911.300060 g 16.919 0.004
52930.174100 r 16.880 0.005
52930.174933 i 16.769 0.005
52930.175767 u 18.362 0.018
52930.176600 z 16.703 0.010
52930.177433 g 17.157 0.004
52934.214841 r 16.993 0.004
52934.215674 i 16.862 0.005
52934.216508 u 18.470 0.020
52934.217341 z 16.799 0.013
52934.218174 g 17.276 0.004
52936.210767 r 17.042 0.005
52936.211600 i 16.915 0.006
52936.212434 u 18.557 0.018
52936.214100 g 17.343 0.005
52962.136289 r 16.732 0.004
52962.137122 i 16.657 0.005
52962.138789 z 16.647 0.010
52962.139622 g 16.931 0.004
53270.274823 r 16.838 0.017
53270.275656 i 16.738 0.013
53270.276489 u 18.352 0.020
53272.324771 r 16.952 0.005
53272.325604 i 16.825 0.005
53272.326438 u 18.478 0.019
53272.327271 z 16.769 0.010
53272.328104 g 17.268 0.005
53286.293490 r 16.819 0.005
53286.294323 i 16.729 0.005
53286.295157 u 18.257 0.018
53286.295990 z 16.680 0.011
53286.296823 g 17.092 0.005
53288.251982 r 16.848 0.005
53288.252815 i 16.740 0.005
53288.253649 u 18.316 0.016
53288.254482 z 16.704 0.010
53288.255315 g 17.119 0.004
53294.299655 r 17.021 0.005
53294.300488 i 16.898 0.005
53294.301322 u 18.477 0.020
53294.302155 z 16.855 0.011
53294.302988 g 17.330 0.004
53302.247649 r 16.723 0.005
53302.248482 i 16.652 0.006
53302.250149 z 16.620 0.010
53302.250982 g 16.922 0.005
53312.203178 r 16.967 0.008
53312.204011 i 16.852 0.021
53312.204844 u 18.478 0.040
53312.205678 z 16.808 0.013
53312.206511 g 17.278 0.011
53314.204377 r 17.024 0.005
53314.205210 i 16.928 0.005
53314.206044 u 18.525 0.018
53314.206877 z 16.882 0.012
53314.207710 g 17.342 0.005
53616.308742 r 16.981 0.018
53616.309575 i 16.882 0.015
53623.298955 r 16.905 0.005
53623.299788 i 16.756 0.006
53623.301455 z 16.798 0.015
53623.302288 g 17.210 0.005
53626.285166 r 16.677 0.005
53626.285999 i 16.629 0.005
53626.286833 u 18.003 0.015
53626.287666 z 16.610 0.010
53626.288499 g 16.823 0.004
53628.270031 r 16.744 0.005
53628.270864 i 16.683 0.005
53628.272531 z 16.637 0.011
53628.273364 g 16.946 0.005
53637.271648 r 16.758 0.004
53637.272481 i 16.692 0.005
53637.273315 u 18.201 0.021
53637.274148 z 16.651 0.012
53637.274981 g 16.974 0.005
53639.317027 r 16.882 0.004
53639.317860 i 16.773 0.005
53639.318694 u 18.333 0.018
53639.319527 z 16.732 0.010
53639.320360 g 17.169 0.005
53644.264116 r 16.670 0.015
53644.264949 i 16.652 0.023
53644.265782 u 18.028 0.022
53644.266616 z 16.630 0.012
53644.267449 g 16.880 0.018
53654.298716 r 17.008 0.005
53654.299549 i 16.888 0.005
53654.300383 u 18.449 0.019
53654.301216 z 16.847 0.011
53654.302049 g 17.305 0.005
53656.246312 r 17.034 0.005
53656.247145 i 16.901 0.006
53656.247979 u 18.480 0.031
53656.248812 z 16.875 0.013
53656.249645 g 17.345 0.006
53663.259621 r 16.977 0.005
53663.260454 i 16.854 0.006
53663.262121 z 16.800 0.010
53663.262954 g 17.296 0.006
53668.249221 r 16.922 0.004
53668.250054 i 16.796 0.005
53668.250888 u 18.420 0.023
53668.251721 z 16.746 0.014
53668.252554 g 17.239 0.004
53670.254073 r 16.980 0.005
53670.254906 i 16.832 0.005
53670.255740 u 18.405 0.019
53670.256573 z 16.812 0.010
53670.257406 g 17.293 0.005
53673.222058 r 16.764 0.004
53673.222891 i 16.677 0.005
53673.223725 u 18.196 0.016
53673.224558 z 16.626 0.009
53673.225391 g 16.991 0.004
53675.218946 r 16.841 0.004
53675.219779 i 16.735 0.005
53675.220613 u 18.287 0.017
53675.221446 z 16.673 0.010
53675.222279 g 17.104 0.004
53677.239977 r 16.940 0.005
53677.240810 i 16.799 0.005
53677.241644 u 18.408 0.017
53677.242477 z 16.775 0.009
53677.243310 g 17.238 0.005
53680.226643 r 16.703 0.004
53680.227476 i 16.638 0.005
53680.228310 u 18.083 0.015
53680.229143 z 16.629 0.009
53680.229976 g 16.879 0.004
53693.228539 r 16.888 0.005
53693.229372 i 16.776 0.005
53693.230206 u 18.399 0.025
53693.231039 z 16.725 0.010
53693.231872 g 17.194 0.005
53698.226764 i 16.663 0.007
53704.211865 r 16.930 0.004
53704.212698 i 16.808 0.005
53704.213532 u 18.388 0.020
53704.214365 z 16.741 0.011
53704.215198 g 17.260 0.005
53974.304545 r 16.850 0.012
53974.305378 i 16.761 0.013
53974.306211 u 18.337 0.022
53974.307045 z 16.711 0.017
53974.307878 g 17.161 0.009
53989.307951 r 16.997 0.015
53989.308785 i 16.892 0.013
53989.310451 z 16.832 0.015
53989.311285 g 17.305 0.014
53997.403586 r 16.875 0.014
54000.283402 r 17.035 0.015
54000.284235 i 16.890 0.012
54000.285902 z 16.877 0.018
54000.286735 g 17.326 0.016
54007.333491 r 17.027 0.010
54007.334325 i 16.920 0.013
54007.335158 u 18.529 0.024
54007.335991 z 16.893 0.017
54007.336825 g 17.342 0.026
54009.257296 r 17.048 0.014
54009.258129 i 16.950 0.029
54009.259796 z 16.885 0.017
54009.260629 g 17.351 0.019
54011.321743 r 16.644 0.010
54011.322576 i 16.583 0.012
54011.324243 z 16.597 0.018
54011.325076 g 16.851 0.014
54019.271953 r 16.905 0.009
54019.272786 i 16.803 0.009
54019.273620 u 18.334 0.017
54019.274453 z 16.738 0.012
54019.275286 g 17.227 0.014
54025.320758 r 16.973 0.011
54025.321592 i 16.889 0.011
54025.322425 u 18.399 0.017
54025.323258 z 16.850 0.013
54025.324092 g 17.283 0.014
54029.251115 r 16.688 0.017
54029.251948 i 16.666 0.013
54029.253615 z 16.608 0.023
54029.254448 g 16.893 0.010
54348.318514 r 16.758 0.016
54348.319347 i 16.657 0.014
54348.320180 u 18.172 0.019
54348.321014 z 16.643 0.014
54348.321847 g 16.962 0.012
54358.274327 r 16.994 0.015
54358.275160 i 16.869 0.013
54358.275993 u 18.461 0.042
54358.276827 z 16.832 0.019
54358.277660 g 17.321 0.019
54359.268361 r 16.772 0.013
54359.269194 i 16.667 0.011
54359.271694 g 17.038 0.020
54365.307423 r 16.983 0.014
54365.308257 i 16.856 0.020
54365.309090 u 18.420 0.021
54365.309923 z 17.087 0.035
54365.310757 g 17.304 0.015
54373.381649 r 16.743 0.018
54373.382482 i 16.675 0.013
54373.384149 z 16.691 0.019
54373.384982 g 17.029 0.023
54381.326995 r 16.979 0.013
54381.327828 i 16.833 0.013
54381.328661 u 18.457 0.026
54381.329495 z 16.822 0.016
54381.330328 g 17.302 0.015
54386.319280 r 16.881 0.014
54386.320113 i 16.765 0.017
54386.321780 z 16.676 0.018
54386.322613 g 17.157 0.018
54388.323550 r 16.939 0.013
54388.324383 i 16.809 0.011
54388.325216 u 18.409 0.041
54388.326050 z 16.768 0.017
54388.326883 g 17.276 0.017
54403.237324 r 17.045 0.016
54403.238157 i 16.875 0.014
54403.239824 z 16.869 0.017
54403.240657 g 17.317 0.021
