"","g","i","r","Y","z"
"c0",0.730334687519131,0.522372193322339,0.54226896952406,0.558189369300022,0.520161562898679
"p1",-0.01953460439364,-1.13561949340192,-0.739136339543951,-1.3923104213282,-1.29174590515261
"p2",-0.0645947749392604,-0.0573571626291172,0.997492768511044,0.656985496507146,-0.534745698741953
